,params,mean_test_score
0,"{'C': 0.01, 'kernel': 'rbf'}",0.21651900095836024
1,"{'C': 0.01, 'kernel': 'poly'}",0.21651900095836024
2,"{'C': 0.01, 'kernel': 'linear'}",0.7899986951771849
3,"{'C': 0.1, 'kernel': 'rbf'}",0.7612524480096562
4,"{'C': 0.1, 'kernel': 'poly'}",0.52335344911889531
5,"{'C': 0.1, 'kernel': 'linear'}",0.789373143
6,"{'C': 1, 'kernel': 'rbf'}",0.8078130513016097
7,"{'C': 1, 'kernel': 'poly'}",0.627600241126785751
8,"{'C': 1, 'kernel': 'linear'}",0.726633143
9,"{'C': 5, 'kernel': 'rbf'}",0.8523014557016845
10,"{'C': 5, 'kernel': 'poly'}",0.661261639
11,"{'C': 5, 'kernel': 'linear'}",0.72663143
12,"{'C': 10, 'kernel': 'rbf'}",0.8665014557016845
13,"{'C': 10, 'kernel': 'poly'}",0.6922402891286187
14,"{'C': 10, 'kernel': 'linear'}",0.726633143
15,"{'C': 15, 'kernel': 'rbf'}",0.8721014557016845
16,"{'C': 15, 'kernel': 'poly'}",0.7289402891286187
17,"{'C': 15, 'kernel': 'linear'}",0.726693331
18,"{'C': 20, 'kernel': 'rbf'}",0.8551014557016845
19,"{'C': 20, 'kernel': 'poly'}",0.6825402891286187
20,"{'C': 20, 'kernel': 'linear'}",0.72663143
